Date,New_cases,Race_Asian,Race_BlackAfricanAmerican,Race_Hispanic,Race_Other,Race_OtherPacificIslander,Race_White,Gender_Female,Gender_Male,Avg_Age
2020-02-29,10,3,0,2,0,1,7,4,9,55.0
2020-03-31,1119,1,0,2,0,0,6,3,6,50.55555555555556
2020-04-30,1065,0,1,2,0,0,7,1,9,50.9
2020-05-31,623,1,0,3,1,0,8,4,9,54.07692307692308
2020-06-30,2251,4,1,4,0,0,8,4,13,48.529411764705884
2020-07-31,6874,2,1,2,0,0,6,1,10,49.63636363636363
2020-08-31,5989,5,0,7,0,0,10,4,18,50.59090909090909
2020-09-30,3778,2,0,3,1,1,2,3,6,36.55555555555556
2020-10-31,3694,3,1,4,0,0,7,7,8,39.8
2020-11-30,11945,3,0,1,0,0,6,2,8,43.4
2020-12-31,37444,4,0,1,0,0,16,6,15,46.095238095238095
2021-01-31,27673,4,0,5,0,0,12,3,18,49.38095238095238
