,Age,Race,Gender,Total_cases
2020-02-01,25,1,1,6
2020-02-02,36,0,0,6
2020-02-04,72,0,0,6
2020-02-06,41,3,0,6
2020-02-07,58,0,1,6
2020-02-10,80,2,1,6
2020-02-12,79,0,0,6
2020-02-14,47,2,0,6
2020-02-17,56,0,0,7
2020-02-19,51,2,1,7
2020-02-23,53,0,0,8
2020-02-25,60,0,0,8
2020-02-29,57,1,0,16
2020-03-01,53,0,1,16
2020-03-02,42,2,0,21
2020-03-03,58,0,0,23
2020-03-11,32,1,0,115
2020-03-11,46,1,1,115
2020-03-21,80,0,0,535
2020-03-22,79,0,0,577
2020-03-23,46,0,0,655
2020-03-31,19,0,1,1135
2020-04-01,84,5,0,1185
2020-04-03,51,0,0,1279
2020-04-05,48,0,0,1353
2020-04-13,63,0,0,1772
2020-04-13,50,0,0,1772
2020-04-21,56,1,0,1993
2020-04-23,48,0,0,2062
2020-04-24,37,0,0,2091
2020-04-27,40,0,1,2140
2020-04-28,32,1,0,2161
2020-05-02,82,0,0,2234
2020-05-03,46,0,0,2242
2020-05-04,37,1,1,2261
2020-05-12,20,2,0,2387
2020-05-17,80,0,1,2468
2020-05-17,78,0,1,2468
2020-05-17,22,4,1,2468
2020-05-22,50,0,0,2635
2020-05-28,86,0,0,2753
2020-05-28,75,0,0,2753
2020-05-29,38,1,0,2797
2020-05-31,80,0,0,2823
2020-05-31,9,1,0,2823
2020-06-02,56,0,0,2882
2020-06-03,20,5,0,2923
2020-06-06,45,2,0,3009
2020-06-08,20,1,0,3066
2020-06-08,26,1,0,3066
2020-06-08,28,0,0,3066
2020-06-11,86,0,0,3225
2020-06-14,32,0,0,3317
2020-06-14,35,2,1,3317
2020-06-15,82,0,0,3379
2020-06-16,59,1,1,3472
2020-06-18,49,0,0,3665
2020-06-19,72,0,0,3776
2020-06-20,33,2,1,3826
2020-06-21,63,1,0,3863
2020-06-23,82,0,1,4157
2020-06-29,37,2,0,4885
2020-07-05,70,1,0,5660
2020-07-09,28,2,0,6766
2020-07-09,54,0,0,6766
2020-07-12,41,5,0,7310
2020-07-13,28,0,0,7515
2020-07-13,83,0,0,7515
2020-07-15,68,0,0,8249
2020-07-17,31,0,0,8883
2020-07-19,26,0,1,9140
2020-07-21,73,1,0,9664
2020-07-24,44,2,0,10491
2020-08-01,64,0,0,12121
2020-08-01,39,1,0,12121
2020-08-01,62,2,0,12121
2020-08-01,44,1,0,12121
2020-08-05,32,2,0,13010
2020-08-05,40,2,0,13010
2020-08-08,82,0,0,13719
2020-08-09,23,1,0,13827
2020-08-09,52,1,0,13827
2020-08-10,53,1,0,14048
2020-08-11,43,2,0,14377
2020-08-12,28,0,1,14661
2020-08-12,70,0,0,14661
2020-08-15,56,0,1,15312
2020-08-15,27,1,1,15312
2020-08-16,84,2,0,15383
2020-08-18,32,0,0,15836
2020-08-21,77,0,0,16336
2020-08-24,27,0,0,16687
2020-08-24,82,0,0,16687
2020-08-25,44,0,1,16974
2020-08-31,52,1,0,17937
2020-09-01,17,1,0,18171
2020-09-11,26,1,0,19598
2020-09-14,53,1,1,19839
2020-09-14,39,0,0,19839
2020-09-17,28,3,0,20392
2020-09-19,27,2,1,20595
2020-09-23,57,0,1,21042
2020-09-28,15,4,0,21452
2020-09-28,67,2,0,21452
2020-10-01,16,1,1,21835
2020-10-02,26,2,1,21956
2020-10-03,50,0,1,22022
2020-10-14,15,2,0,23226
2020-10-15,54,1,0,23386
2020-10-15,55,2,0,23386
2020-10-15,40,0,0,23386
2020-10-16,18,5,1,23497
2020-10-20,49,0,1,23941
2020-10-22,56,0,0,24220
2020-10-23,54,0,0,24365
2020-10-26,32,1,0,24648
2020-10-28,56,0,1,25020
2020-10-31,54,0,1,25409
2020-10-31,22,1,0,25409
2020-11-02,63,0,0,25685
2020-11-09,35,2,0,27382
2020-11-09,55,0,0,27382
2020-11-11,23,1,0,28155
2020-11-11,85,2,0,28155
2020-11-15,27,0,0,29365
2020-11-22,48,0,1,32500
2020-11-23,37,0,1,33132
2020-11-25,49,0,0,34662
2020-11-29,12,2,0,36412
2020-12-02,30,0,0,40006
2020-12-02,54,0,1,40006
2020-12-03,70,0,1,41237
2020-12-03,84,0,0,41237
2020-12-06,40,0,0,43769
2020-12-09,29,0,1,48143
2020-12-12,72,0,0,51406
2020-12-13,53,0,0,52172
2020-12-14,71,2,1,53420
2020-12-14,31,2,0,53420
2020-12-15,47,0,0,55255
2020-12-15,28,1,0,55255
2020-12-15,50,0,0,55255
2020-12-21,74,0,0,62452
2020-12-24,18,0,1,66064
2020-12-25,28,2,0,66274
2020-12-26,24,0,0,67265
2020-12-29,55,0,1,71710
2020-12-29,34,0,0,71710
2020-12-30,37,2,0,73621
2020-12-31,39,0,0,74798
2021-01-01,44,1,0,75073
2021-01-02,52,2,0,76062
2021-01-03,73,0,0,76990
2021-01-05,63,0,1,80854
2021-01-06,54,1,0,82666
2021-01-06,22,0,0,82666
2021-01-07,24,0,0,84291
2021-01-08,87,0,0,85433
2021-01-08,89,2,0,85433
2021-01-08,73,2,0,85433
2021-01-11,64,1,0,88281
2021-01-11,65,2,0,88281
2021-01-12,27,0,0,89766
2021-01-13,58,0,0,91078
2021-01-19,18,0,0,96146
2021-01-20,52,0,0,97029
2021-01-21,71,0,0,97806
2021-01-24,20,0,1,99191
2021-01-26,32,0,1,100359
2021-01-28,18,1,0,101307
2021-01-31,31,1,0,102471
