,Age,Race,Gender,Total_cases
1,25,1,1,6
2,36,0,0,6
3,72,0,0,6
4,41,3,0,6
5,58,0,1,6
6,80,2,1,6
7,79,0,0,6
8,47,2,0,6
9,56,0,0,7
10,51,2,1,7
11,53,0,0,8
12,60,0,0,8
13,57,1,0,16
14,53,0,1,16
15,42,2,0,21
16,58,0,0,23
17,32,1,0,115
18,46,1,1,115
19,80,0,0,535
20,79,0,0,577
21,46,0,0,655
22,19,0,1,1135
23,84,5,0,1185
24,51,0,0,1279
25,48,0,0,1353
26,63,0,0,1772
27,50,0,0,1772
28,56,1,0,1993
29,48,0,0,2062
30,37,0,0,2091
31,40,0,1,2140
32,32,1,0,2161
33,82,0,0,2234
34,46,0,0,2242
35,37,1,1,2261
36,20,2,0,2387
37,80,0,1,2468
38,78,0,1,2468
39,22,4,1,2468
40,50,0,0,2635
41,86,0,0,2753
42,75,0,0,2753
43,38,1,0,2797
44,80,0,0,2823
45,9,1,0,2823
46,56,0,0,2882
47,20,5,0,2923
48,45,2,0,3009
49,20,1,0,3066
50,26,1,0,3066
51,28,0,0,3066
52,86,0,0,3225
53,32,0,0,3317
54,35,2,1,3317
55,82,0,0,3379
56,59,1,1,3472
57,49,0,0,3665
58,72,0,0,3776
59,33,2,1,3826
60,63,1,0,3863
61,82,0,1,4157
62,37,2,0,4885
63,70,1,0,5660
64,28,2,0,6766
65,54,0,0,6766
66,41,5,0,7310
67,28,0,0,7515
68,83,0,0,7515
69,68,0,0,8249
70,31,0,0,8883
71,26,0,1,9140
72,73,1,0,9664
73,44,2,0,10491
74,64,0,0,12121
75,39,1,0,12121
76,62,2,0,12121
77,44,1,0,12121
78,32,2,0,13010
79,40,2,0,13010
80,82,0,0,13719
81,23,1,0,13827
82,52,1,0,13827
83,53,1,0,14048
84,43,2,0,14377
85,28,0,1,14661
86,70,0,0,14661
87,56,0,1,15312
88,27,1,1,15312
89,84,2,0,15383
90,32,0,0,15836
91,77,0,0,16336
92,27,0,0,16687
93,82,0,0,16687
94,44,0,1,16974
95,52,1,0,17937
96,17,1,0,18171
97,26,1,0,19598
98,53,1,1,19839
99,39,0,0,19839
100,28,3,0,20392
101,27,2,1,20595
102,57,0,1,21042
103,15,4,0,21452
104,67,2,0,21452
105,16,1,1,21835
106,26,2,1,21956
107,50,0,1,22022
108,15,2,0,23226
109,54,1,0,23386
110,55,2,0,23386
111,40,0,0,23386
112,18,5,1,23497
113,49,0,1,23941
114,56,0,0,24220
115,54,0,0,24365
116,32,1,0,24648
117,56,0,1,25020
118,54,0,1,25409
119,22,1,0,25409
120,63,0,0,25685
121,35,2,0,27382
122,55,0,0,27382
123,23,1,0,28155
124,85,2,0,28155
125,27,0,0,29365
126,48,0,1,32500
127,37,0,1,33132
128,49,0,0,34662
129,12,2,0,36412
130,30,0,0,40006
131,54,0,1,40006
132,70,0,1,41237
133,84,0,0,41237
134,40,0,0,43769
135,29,0,1,48143
136,72,0,0,51406
137,53,0,0,52172
138,71,2,1,53420
139,31,2,0,53420
140,47,0,0,55255
141,28,1,0,55255
142,50,0,0,55255
143,74,0,0,62452
144,18,0,1,66064
145,28,2,0,66274
146,24,0,0,67265
147,55,0,1,71710
148,34,0,0,71710
149,37,2,0,73621
150,39,0,0,74798
151,44,1,0,75073
152,52,2,0,76062
153,73,0,0,76990
154,63,0,1,80854
155,54,1,0,82666
156,22,0,0,82666
157,24,0,0,84291
158,87,0,0,85433
159,89,2,0,85433
160,73,2,0,85433
161,64,1,0,88281
162,65,2,0,88281
163,27,0,0,89766
164,58,0,0,91078
165,18,0,0,96146
166,52,0,0,97029
167,71,0,0,97806
168,20,0,1,99191
169,32,0,1,100359
170,18,1,0,101307
171,31,1,0,102471
